mal_id,url,images,trailer,approved,titles,title,title_english,title_japanese,title_synonyms,type,source,episodes,status,airing,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,synopsis,background,season,year,broadcast,producers,licensors,studios,genres,explicit_genres,themes,demographics,relations,theme,external,streaming
15005,https://myanimelist.net/anime/15005/Kyou_no_Asuka_Show,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/77066.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/77066t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/77066l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/4/77066.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/4/77066t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/4/77066l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,",Kyou no Asuka Show,Today's Asuka Show,今日のあすかショー,,ONA,Manga,20,Finished Airing,False,"{'from': '2012-08-03T00:00:00+00:00', 'to': '2013-01-05T00:00:00+00:00', 'prop': {'from': {'day': 3, 'month': 8, 'year': 2012}, 'to': {'day': 5, 'month': 1, 'year': 2013}}, 'string': 'Aug 3, 2012 to Jan 5, 2013'}",3 min per ep,PG-13 - Teens 13 or older,6.58,17413,6358,3171,48061,67,"Asuka is a cute and clueless high school girl who habitually does things, in all innocence, that seem sexually suggestive to the men around her. Each chapter in ""Today's Asuka Show"" features a different awkward situation. 

(Source: tethysdust)",,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}","Lantis,Half H.P Studio",,SILVER LINK.,"Comedy,Ecchi",,,Seinen,,"{'openings': [], 'endings': ['""Hobo Kenzen Shoujo Sengen (ほぼ健全少女宣言)"" by Arisa Noto']}","Official Site,AniDB,Wikipedia",
15015,https://myanimelist.net/anime/15015/Shin_Koihime†Musou__Otome_Tairan_OVA_Omake,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/3/40773.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/3/40773t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/3/40773l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/3/40773.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/3/40773t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/3/40773l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",",Shin Koihime†Musou: Otome Tairan OVA Omake,,ちびちび演義 真・恋姫ふらっしゅ～張飛、孫尚香、袁術、三国志するのこと～,,Special,Visual novel,1,Finished Airing,False,"{'from': '2011-02-02T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 2, 'month': 2, 'year': 2011}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Feb 2, 2011'}",17 min,R+ - Mild Nudity,6.17,467,8712,11238,1999,0,A special included in the DVD of Shin Koihime†Musou: Otome Tairan OVA and the BD-BOX of Shin Koihime†Musou: Otome Tairan.,,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",,,,"Adventure,Comedy,Fantasy,Ecchi",,,,,"{'openings': [], 'endings': []}",,
15021,https://myanimelist.net/anime/15021/Yuki_no_Taiyou_Pilot,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/7/76446.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/7/76446t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/7/76446l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/7/76446.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/7/76446t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/7/76446l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,",Yuki no Taiyou Pilot,,ユキの太陽,"[""Yuki's Sun Pilot""]",Special,Manga,1,Finished Airing,False,"{'from': '1972-01-01T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 1, 'month': 1, 'year': 1972}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': '1972'}",4 min,PG - Children,5.42,1894,11785,9480,3505,0,"This pilot is remembered, really, for one notable reason: this is Miyazaki's first time as a solo director. He teamed up with Takahata for the later episodes of the 1971-72 Lupin III series, but Yuki's Sun marked his first time solely in the captain's seat.

Yuki's Sun was based upon a popular shoujo manga (girls' comic) by Tetsuya Chiba which was serialized in 1963. It involves a 10-year-old orphan girl who is adopted into a family. The storyline is somewhat complex, and seems to play out like grand melodrama. Chiba's stories were more sophisticated and grown-up than, say, Osamu Tezuka, who of course was the godfather of postwar Japanese manga.

(Source: TheGhibliBlog)",,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",,,Tokyo Movie,Drama,,,Shoujo,,"{'openings': [], 'endings': []}",,
15037,https://myanimelist.net/anime/15037/Corpse_Party__Tortured_Souls_-_Bougyakusareta_Tamashii_no_Jukyou,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/10/78811.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/10/78811t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/10/78811l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/10/78811.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/10/78811t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/10/78811l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,,,,,",Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,Corpse Party: Tortured Souls,コープスパーティー Tortured Souls -暴虐された魂の呪叫-,['Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou'],OVA,Visual novel,4,Finished Airing,False,"{'from': '2013-07-24T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 24, 'month': 7, 'year': 2013}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Jul 24, 2013'}",29 min per ep,R - 17+ (violence & profanity),6.43,222127,7279,609,380787,1694,"Nine students gather in their high school at night to bid farewell to a friend. As is customary among many high school students, they perform a sort of ritual for them to remain friends forever, using small paper charms shaped like dolls.

However, the students do not realize that these charms are connected to Heavenly Host Academy—an elementary school that was destroyed years ago after a series of gruesome murders took place, a school that rests under the foundation of their very own Kisaragi Academy. Now, trapped in an alternate dimension with vengeful ghosts of the past, the students must work together to escape—or join the spirits of the damned forever.

A feast for mystery fanatics, gore-hounds, and horror fans alike, Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou shows a sobering look at redemption, sacrifice, and how the past is always right behind, sometimes a little too close for comfort.

[Written by MAL Rewrite]","Corpse Party: Tortured Souls is based off Corpse party BloodCovered: ...Repeated Fear, the 2010 PSP remake of the 1996 PC-9801 RPG survival horror game Corpse Party.",,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",MAGES.,Maiden Japan,asread.,"Horror,Mystery,Supernatural",,Gore,,",","{'openings': ['""Hoshikuzu no Ring (星屑のリング)"" by Asami Imai'], 'endings': ['""Hotaru-bi (蛍火)"" by Yumi Hara']}","Official Site,AniDB,ANN,Wikipedia","Crunchyroll,HIDIVE"
15039,https://myanimelist.net/anime/15039/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai_Movie,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/5/49993.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/5/49993t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/5/49993l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/5/49993.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/5/49993t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/5/49993l.webp'}}","{'youtube_id': 'aTv79pJh_dw', 'url': 'https://www.youtube.com/watch?v=aTv79pJh_dw', 'embed_url': 'https://www.youtube.com/embed/aTv79pJh_dw?enablejsapi=1&wmode=opaque&autoplay=1', 'images': {'image_url': 'https://img.youtube.com/vi/aTv79pJh_dw/default.jpg', 'small_image_url': 'https://img.youtube.com/vi/aTv79pJh_dw/sddefault.jpg', 'medium_image_url': 'https://img.youtube.com/vi/aTv79pJh_dw/mqdefault.jpg', 'large_image_url': 'https://img.youtube.com/vi/aTv79pJh_dw/hqdefault.jpg', 'maximum_image_url': 'https://img.youtube.com/vi/aTv79pJh_dw/maxresdefault.jpg'}}",True,",,,,,",Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,Anohana: The Flower We Saw That Day The Movie,劇場版 あの日見た花の名前を僕達はまだ知らない。,"['AnoHana Movie', ""We Still Don't Know the Name of the Flower We Saw That Day. Movie""]",Movie,Original,1,Finished Airing,False,"{'from': '2013-08-31T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 31, 'month': 8, 'year': 2013}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Aug 31, 2013'}",1 hr 39 min,PG-13 - Teens 13 or older,7.84,141703,898,821,294598,623,"A year after their deceased friend Honma Meiko appeared to them, Jinta Yadomi and the other members of the Super Peace Busters decide to write letters in her memory. Attempting to enjoy their summer together, they reminisce about their time together before and after her death.

AnoHana. Movie retells the main events of the parent story in the perspective of each member of the Super Peace Busters.

[Written by MAL Rewrite]",AnoHana Movie received a Jury Selection award in the Animation division of the 17th Japan Media Arts Festival.,,,"{'day': None, 'time': None, 'timezone': None, 'string': None}",Aniplex,Aniplex of America,A-1 Pictures,"Drama,Supernatural",,,,,"{'openings': [], 'endings': ['""Circle Game (サークルゲーム)"" by Galileo Galilei']}","Official Site,AniDB,ANN,Wikipedia",
15043,https://myanimelist.net/anime/15043/Haitai_Nanafa,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/12/45991.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/12/45991t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/12/45991l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/12/45991.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/12/45991t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/12/45991l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,",Haitai Nanafa,,はいたい七葉,['Haitai Nana Fa'],TV,Original,13,Finished Airing,False,"{'from': '2012-10-06T00:00:00+00:00', 'to': '2012-12-29T00:00:00+00:00', 'prop': {'from': {'day': 6, 'month': 10, 'year': 2012}, 'to': {'day': 29, 'month': 12, 'year': 2012}}, 'string': 'Oct 6, 2012 to Dec 29, 2012'}",3 min per ep,PG-13 - Teens 13 or older,5.88,3746,10083,6076,11163,14,"Nanafa Kyan lives in Okinawa with her grandmother who runs the ""Kame Soba"" soba shop, her beautiful older sister Nao who is in high school, and her younger sister Kokona, who is in elementary school and has a strong ability to sense the supernatural.

One day, Nanafa witnesses a seal fall off of a Chinese banyan tree, and three spirits who live in that tree are unleashed. These spirits include Niina and Raana, who are ""jimunaa"" spirits. The third spirit is Iina, who is an incarnation of an Okinawan lion statue. As spirits start appearing one after another, the peaceful life of Nanafa and her family begins to change.

(Source: ANN)",,fall,2012,"{'day': None, 'time': None, 'timezone': None, 'string': 'Unknown'}",Ryukyu Asahi Broadcasting,,Passione,"Comedy,Supernatural",,,,,"{'openings': [], 'endings': ['""Yuimaru☆World"" (ゆいまーる☆わーるど)"" by Rie Ayase']}","Official Site,AniDB,ANN,Wikipedia",
15045,https://myanimelist.net/anime/15045/Litchi_DE_Hikari_Club,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1083/116746.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1083/116746t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1083/116746l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1083/116746.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1083/116746t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1083/116746l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",,,,,,",Litchi DE Hikari Club,Lychee Light Club,ライチ DE 光クラブ,"['Litchi☆Hikari Club', 'Raichi Hikari Club']",TV,Manga,8,Finished Airing,False,"{'from': '2012-10-02T00:00:00+00:00', 'to': '2012-11-20T00:00:00+00:00', 'prop': {'from': {'day': 2, 'month': 10, 'year': 2012}, 'to': {'day': 20, 'month': 11, 'year': 2012}}, 'string': 'Oct 2, 2012 to Nov 20, 2012'}",3 min per ep,PG-13 - Teens 13 or older,5.17,5642,12383,5787,12607,19,"Litchi DE Hikari Club takes place in an alternate reality where the Hikari Club does not fall into disarray after the completion of Litchi, the intelligent humanlike robot the club invented to kidnap girls.

The cult-like Hikari Club has had its ups and downs. Led by the enigmatic, beauty-obsessed Hiroyuki ""Zera"" Tsunekawa, the club has finally succeeded in using their fruit-powered robot, Litchi, to kidnap the beautiful Kanon. After accomplishing their goals, the Hikari Club has little to do other than delight in their newfound lives. From selling the technology that allows Litchi to run on lychee fruit, to modifying the robot to perform different tasks, there's no telling what antics the Hikari Club will get up to next!

[Written by MAL Rewrite]",,fall,2012,"{'day': None, 'time': None, 'timezone': None, 'string': 'Unknown'}",Nelke Planning,,Kachidoki Studio,"Comedy,Drama,Horror,Romance",,Psychological,,,"{'openings': [], 'endings': ['""Haikyo no Teiou (廃墟の☆帝王)"" by Litchi ☆ Hikari Club (eps 2-8)']}","Official Site,AniDB,ANN,Wikipedia",Crunchyroll
15051,https://myanimelist.net/anime/15051/Love_Live_School_Idol_Project,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/11/56849.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/11/56849t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/11/56849l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/11/56849.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/11/56849t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/11/56849l.webp'}}","{'youtube_id': 'Yl5Kwi-uqQY', 'url': 'https://www.youtube.com/watch?v=Yl5Kwi-uqQY', 'embed_url': 'https://www.youtube.com/embed/Yl5Kwi-uqQY?enablejsapi=1&wmode=opaque&autoplay=1', 'images': {'image_url': 'https://img.youtube.com/vi/Yl5Kwi-uqQY/default.jpg', 'small_image_url': 'https://img.youtube.com/vi/Yl5Kwi-uqQY/sddefault.jpg', 'medium_image_url': 'https://img.youtube.com/vi/Yl5Kwi-uqQY/mqdefault.jpg', 'large_image_url': 'https://img.youtube.com/vi/Yl5Kwi-uqQY/hqdefault.jpg', 'maximum_image_url': 'https://img.youtube.com/vi/Yl5Kwi-uqQY/maxresdefault.jpg'}}",True,",,",Love Live! School Idol Project,Love Live! School Idol Project,ラブライブ! School idol project,,TV,Other,13,Finished Airing,False,"{'from': '2013-01-06T00:00:00+00:00', 'to': '2013-03-31T00:00:00+00:00', 'prop': {'from': {'day': 6, 'month': 1, 'year': 2013}, 'to': {'day': 31, 'month': 3, 'year': 2013}}, 'string': 'Jan 6, 2013 to Mar 31, 2013'}",23 min per ep,PG-13 - Teens 13 or older,7.41,226324,2213,504,447444,8092,"Otonokizaka High School is in a crisis! With the number of enrolling students dropping lower and lower every year, the school is set to shut down after its current first years graduate. However, second year Honoka Kousaka refuses to let it go without a fight. Searching for a solution, she comes across popular school idol group A-RISE and sets out to create a school idol group of her own. With the help of her childhood friends Umi Sonoda and Kotori Minami, Honoka forms μ's (pronounced ""muse"") to boost awareness and popularity of her school.

Unfortunately, it's all easier said than done. Student council president Eri Ayase vehemently opposes the establishment of a school idol group and will do anything in her power to prevent its creation. Moreover, Honoka and her friends have trouble attracting any additional members. But the Love Live, a competition to determine the best and most beloved school idol groups in Japan, can help them gain the attention they desperately need. With the contest fast approaching, Honoka must act quickly and diligently to try and bring together a school idol group and win the Love Live in order to save Otonokizaka High School.

[Written by MAL Rewrite]","Love Live! School Idol Project is a part of the ""Love Live!"" multimedia franchise, co-developed with Dengeki G's Magazine. In 2015, idol group μ's was Japan's eighth best-selling musical act, selling over eight hundred thousand CDs, DVDs, and Blu-Rays. The series also released a mobile rhythm game titled Love Live! School Idol Festival for iOS and Android, developed by KLab, which was released in 2013 for Japan and in 2014 for English users. As of March 22, 2016, the game has surpassed 25 million users worldwide.",winter,2013,"{'day': 'Sundays', 'time': '22:00', 'timezone': 'Asia/Tokyo', 'string': 'Sundays at 22:00 (JST)'}","Bandai Visual,Lantis,ASCII Media Works,Bushiroad","NIS America, Inc.",Sunrise,Slice of Life,,"Idols (Female),Music,School",,",,,,,","{'openings': ['""Bokura wa Ima no Naka de (僕らは今のなかで)"" by μ\'s'], 'endings': ['1: ""Susume→Tomorrow"" (ススメ→トゥモロウ)"" by μ\'s (eps 1)', '2: ""Kitto Seishun ga Kikoeru (きっと青春が聞こえる)"" by Honoka Kousaka, Kotori Minami, Umi Sonoda (Suzuko Mimori, Emi Nitta, Aya Uchida) (eps 2)', '3: ""Kitto Seishun ga Kikoeru (きっと青春が聞こえる)"" by μ\'s (eps 3, 8, 10-11, 13)', '4: ""Kitto Seishun ga Kikoeru (きっと青春が聞こえる)"" by Maki Nishikino, Hanayo Koizumi, Rin Hoshizora (Pile, Yurika Kubo, Riho Iida)  (eps 4)', '5: ""Kitto Seishun ga Kikoeru (きっと青春が聞こえる)"" by Niko Yazawa (Sora Tokui) (eps 5)', '6: ""Kitto Seishun ga Kikoeru (きっと青春が聞こえる)"" by Honoka Kousaka, Kotori Minami, Umi Sonoda, Rin Hoshizora, Maki Nishikino, Hanayo Koizumi, Niko Yazawa (Suzuko Mimori, Emi Nitta, Aya Uchida)  (eps 6)', '7: ""Kitto Seishun ga Kikoeru (きっと青春が聞こえる)"" by Eri Ayase, Nozomi Toujou (Nanjo Yoshino, Aina Kusuda)  (eps 7)', '8: ""Kitto Seishun ga Kikoeru (きっと青春が聞こえる)"" by Kotori Minami (Aya Uchida)  (eps 9)', '9: ""Kitto Seishun ga Kikoeru (きっと青春が聞こえる)"" by Honoka Kousaka (Emi Nitta) (eps 12)']}","Official Site,AniDB,ANN,Wikipedia","Crunchyroll,Funimation,Netflix"
15059,https://myanimelist.net/anime/15059/Initial_D_Fifth_Stage,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/1563/119898.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1563/119898t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1563/119898l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/1563/119898.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/1563/119898t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/1563/119898l.webp'}}","{'youtube_id': None, 'url': None, 'embed_url': None, 'images': {'image_url': None, 'small_image_url': None, 'medium_image_url': None, 'large_image_url': None, 'maximum_image_url': None}}",True,",",Initial D Fifth Stage,,頭文字 D Fifth Stage,,TV,Manga,14,Finished Airing,False,"{'from': '2012-11-04T00:00:00+00:00', 'to': '2013-05-10T00:00:00+00:00', 'prop': {'from': {'day': 4, 'month': 11, 'year': 2012}, 'to': {'day': 10, 'month': 5, 'year': 2013}}, 'string': 'Nov 4, 2012 to May 10, 2013'}",27 min per ep,PG-13 - Teens 13 or older,8.1,78589,488,1530,149500,763,"After earning a series of difficult victories in the prefectures of Tochigi, Saitama, and Ibaraki, the drivers of Project D—an amateur street driving group led by ex-street driver and expert tactician Ryousuke Takahashi—Takumi Fujiwara and Keisuke Takahashi now have to take Project D to the next level: the Kanagawa prefecture, commonly known as the holy land of street racing. Their opponents, members of the three best street racing teams of Kanagawa, design an elaborate strategy called the ""Four Lines of Defense"" to put a definitive end to the ambitions of Project D.

Meanwhile, Takumi feels he needs to refine his driving skills to overcome the last victory against Toshiya Joushima that he only just managed to snatch. The moment of truth has now come for Project D, which carries with it the hopes of the Gunma Prefecture; will they manage to thwart the surprising tactics of the skilled street racers of Kanagawa?

[Written by MAL Rewrite]",,fall,2012,"{'day': None, 'time': None, 'timezone': None, 'string': 'Unknown'}","Avex Entertainment,Animax",,SynergySP,"Action,Drama",,Racing,Seinen,",,,","{'openings': ['""Raise Up"" by m.o.v.e'], 'endings': ['1: ""Flyleaf"" by CLUTCHO (eps 1-6)', '2: ""Yuushuusouka (夕愁想花)"" by m.o.v.e (eps 7-14)']}","Official Site,AniDB,ANN,Wikipedia","Funimation,Shahid"
15061,https://myanimelist.net/anime/15061/Aikatsu,"{'jpg': {'image_url': 'https://cdn.myanimelist.net/images/anime/6/74783.jpg', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/6/74783t.jpg', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/6/74783l.jpg'}, 'webp': {'image_url': 'https://cdn.myanimelist.net/images/anime/6/74783.webp', 'small_image_url': 'https://cdn.myanimelist.net/images/anime/6/74783t.webp', 'large_image_url': 'https://cdn.myanimelist.net/images/anime/6/74783l.webp'}}","{'youtube_id': 'HoPITmefUMU', 'url': 'https://www.youtube.com/watch?v=HoPITmefUMU', 'embed_url': 'https://www.youtube.com/embed/HoPITmefUMU?enablejsapi=1&wmode=opaque&autoplay=1', 'images': {'image_url': 'https://img.youtube.com/vi/HoPITmefUMU/default.jpg', 'small_image_url': 'https://img.youtube.com/vi/HoPITmefUMU/sddefault.jpg', 'medium_image_url': 'https://img.youtube.com/vi/HoPITmefUMU/mqdefault.jpg', 'large_image_url': 'https://img.youtube.com/vi/HoPITmefUMU/hqdefault.jpg', 'maximum_image_url': 'https://img.youtube.com/vi/HoPITmefUMU/maxresdefault.jpg'}}",True,",,,,,",Aikatsu!,,アイカツ！アイドルカツドウ！,"['Aikatsu! Idol Katsudou! Idol ga Tsudou!', 'Aidoru ga Tsudou!', 'Aikatsu! 2', 'Idol ga Tsudou! 2']",TV,Original,178,Finished Airing,False,"{'from': '2012-10-08T00:00:00+00:00', 'to': '2016-03-31T00:00:00+00:00', 'prop': {'from': {'day': 8, 'month': 10, 'year': 2012}, 'to': {'day': 31, 'month': 3, 'year': 2016}}, 'string': 'Oct 8, 2012 to Mar 31, 2016'}",24 min per ep,PG - Children,7.52,14348,1772,3339,43679,960,"An idol's brilliance illuminates the dreams of humanity. Starlight Academy, a holy ground for celebrities in training, seeks to realize this belief. Behind its rigorous entrance requirements lie not only the top young stars in the entertainment business, but some of the best memories these students will ever have.

Or so Aoi Kiriya believes. Alongside her best friend Ichigo, Aoi decides to apply for the prestigious private school in hopes of living up to the praise of the biggest idol in the world: Mizuki Kanzaki. As they journey through the numerous laughs, friendships, and heartbreaks that await them, can the two girls light up the lives of others as Mizuki has done for them?

Whether it be chopping down Christmas trees, traversing obstacle courses, or even rock climbing, there's always a playful new adventure to be found in the world of Aikatsu!.

[Written by MAL Rewrite]",,fall,2012,"{'day': 'Thursdays', 'time': '18:30', 'timezone': 'Asia/Tokyo', 'string': 'Thursdays at 18:30 (JST)'}","TV Tokyo,Bandai Visual,Dentsu",,"Sunrise,Bandai Namco Pictures",Slice of Life,,"Idols (Female),Music,School",,",,,,","{'openings': ['1: ""Signalize!"" by Waka, Fuuri, Sunao, Risuko from STAR☆ANIS (eps 1-25)', '2: ""Diamond Happy (ダイヤモンドハッピー)"" by Waka, Fuuri, Sunao from STAR☆ANIS (eps 26-50)', '3: ""KIRA☆Power"" by Waka, Fuuri, Sunao from STAR☆ANIS (eps 51-75)', '4: ""SHINING LINE*"" by Waka, Fuuri, Yuna from STAR☆ANIS (eps 76-101)', '5: ""Du-Du-Wa DO IT!!"" by Ruka, Mona, Miki from AIKATSU☆STARS! & Waka from STAR☆ANIS (eps 102-126)', '6: ""Lovely Party Collection"" by Ruka, Mona, Miki from AIKATSU☆STARS! (eps 127-152)', '7: ""START DASH SENSATION"" by Ruka, Mona, Miki from AIKATSU☆STARS! (eps 153-176, 178)'], 'endings': ['1: ""Calendar Girl (カレンダーガール)"" by Waka, Fuuri, Sunao from STAR☆ANIS (eps 1-25, 125)', '2: ""Hirari / Hitori / Kirari (ヒラリ／ヒトリ／キラリ)"" by Waka, Fuuri, Sunao, Remi, Moe, Eri, Yuna, Risuko from STAR☆ANIS (eps 26-43, 45-50)', '3: ""Alice Blue no Kiss (アリスブルーのキス)"" by Rey (eps 44)', '4: ""Original Star☆彡 (オリジナルスター☆彡)"" by Waka, Fuuri, Sunao, Remi, Moe, Eri, Yuna, Risuko from STAR☆ANIS (eps 51-75)', '5: ""Precious"" by Risuko, Waka, Fuuri, Mona from STAR☆ANIS (eps 76-101)', '6: ""Good morning my dream"" by Ruka, Mona, Miki from AIKATSU☆STARS! (eps 101-124,126)', '7: ""Chuchu Ballerina (チュチュ・バレリーナ)"" by Mona and Nanase from AIKATSU☆STARS! (eps 127-152)', '8: ""lucky train!"" by Ruka, Mona, Miki from AIKATSU☆STARS! (eps 153-178)']}","Official Site,AniDB,ANN,Wikipedia",
