id,title,start_date,end_date,statistics
33771,Cheating Craft,2016-10-05,2016-12-21,"{'status': {'watching': '6183', 'completed': '28495', 'on_hold': '2996', 'dropped': '11038', 'plan_to_watch': '21164'}, 'num_list_users': 69876}"
33772,Spy Penguin (ONA),2013-04-26,2014-12-11,"{'status': {'watching': '20', 'completed': '95', 'on_hold': '9', 'dropped': '55', 'plan_to_watch': '85'}, 'num_list_users': 264}"
33773,Spy Penguin (ONA): White Christmas,2013-12-30,2013-12-30,"{'status': {'watching': '17', 'completed': '87', 'on_hold': '3', 'dropped': '47', 'plan_to_watch': '78'}, 'num_list_users': 232}"
33775,Soul Buster,2016-10-04,2016-12-11,"{'status': {'watching': '1897', 'completed': '8468', 'on_hold': '783', 'dropped': '3004', 'plan_to_watch': '7395'}, 'num_list_users': 21547}"
33776,"Watashitachi, Luck Logic-bu! 2",2016-08-01,2017-01-22,"{'status': {'watching': '146', 'completed': '546', 'on_hold': '69', 'dropped': '114', 'plan_to_watch': '1242'}, 'num_list_users': 2117}"
33777,Yodomi no Sawagi,2014,2014,"{'status': {'watching': '34', 'completed': '754', 'on_hold': '8', 'dropped': '45', 'plan_to_watch': '243'}, 'num_list_users': 1084}"
33779,Jakusansei Million Arthur Specials,2016-07-06,2016-08-25,"{'status': {'watching': '43', 'completed': '334', 'on_hold': '20', 'dropped': '86', 'plan_to_watch': '376'}, 'num_list_users': 859}"
33782,Life!,2016-08-04,2016-10-13,"{'status': {'watching': '47', 'completed': '80', 'on_hold': '12', 'dropped': '132', 'plan_to_watch': '266'}, 'num_list_users': 537}"
33783,Godzilla 1: Kaijuu Wakusei,2017-11-17,2017-11-17,"{'status': {'watching': '1067', 'completed': '47130', 'on_hold': '400', 'dropped': '572', 'plan_to_watch': '13697'}, 'num_list_users': 62866}"
33787,Usamaru,2016-08-05,2016-10-21,"{'status': {'watching': '19', 'completed': '125', 'on_hold': '3', 'dropped': '71', 'plan_to_watch': '92'}, 'num_list_users': 310}"
33788,Marginal#4: Kiss kara Tsukuru Big Bang,2017-01-12,2017-03-30,"{'status': {'watching': '1296', 'completed': '6786', 'on_hold': '722', 'dropped': '1638', 'plan_to_watch': '6243'}, 'num_list_users': 16685}"
33789,Peeping Life x Sanyo,2016-07-03,2017-07-06,"{'status': {'watching': '48', 'completed': '118', 'on_hold': '10', 'dropped': '86', 'plan_to_watch': '170'}, 'num_list_users': 432}"
33791,Warui no wo Taose!! Salaryman Man,2004-11,2004-11,"{'status': {'watching': '17', 'completed': '584', 'on_hold': '6', 'dropped': '51', 'plan_to_watch': '92'}, 'num_list_users': 750}"
